CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6037212304,California,Los Angeles,1867,978,889,70.6,12.5,2.8,0.6,12.9,0.0,617,27105.0,4732.0,15292.0,1732.0,34.7,56.0,23.6,47.8,14.8,10.6,3.2,36.0,3.4,53.7,1.5,0.0,5.4,40.4,1086,78.0,7.8,14.2,0.0,9.7
6037212305,California,Los Angeles,3030,1685,1345,77.3,3.7,3.1,1.1,14.9,0.0,893,31023.0,7730.0,13858.0,1366.0,36.8,57.4,17.2,25.8,21.7,19.0,16.3,37.6,10.5,39.7,5.9,1.0,5.2,35.0,1488,77.2,2.6,20.3,0.0,15.1
6037212306,California,Los Angeles,3086,1637,1449,41.9,2.6,0.7,0.0,54.5,0.0,1041,31742.0,5583.0,16362.0,2584.0,23.5,34.1,17.2,35.8,24.8,9.8,12.4,50.1,2.3,33.1,5.4,2.3,6.8,32.4,1503,78.4,5.7,15.9,0.0,12.1
6037212410,California,Los Angeles,4135,2234,1901,43.4,9.0,7.2,0.0,39.0,0.0,1516,35089.0,7318.0,20120.0,3073.0,20.3,38.8,24.9,32.5,25.1,10.7,6.8,42.1,11.4,30.4,6.5,1.7,7.9,32.3,2431,80.1,2.8,17.0,0.0,11.5
6037212420,California,Los Angeles,3354,1722,1632,56.2,2.1,5.6,1.5,33.3,0.7,1251,27500.0,4872.0,16166.0,2064.0,31.5,56.3,24.2,35.9,17.3,6.0,16.6,44.4,8.4,27.9,2.3,5.6,11.4,35.0,1714,82.1,1.3,16.6,0.0,12.6
6037212501,California,Los Angeles,2158,1150,1008,48.7,16.9,6.7,0.7,26.7,0.0,1098,34146.0,2842.0,22714.0,4189.0,20.5,16.0,31.7,25.8,23.2,7.9,11.5,48.1,10.8,26.3,2.0,2.2,10.7,33.0,1308,76.7,4.3,18.0,1.0,8.7
6037212502,California,Los Angeles,2790,1381,1409,36.6,13.7,5.9,0.0,39.5,0.0,1502,38403.0,4522.0,28189.0,4247.0,14.8,18.8,36.1,30.7,17.2,5.5,10.5,51.3,4.9,28.1,5.0,7.7,3.1,34.6,1788,73.4,4.3,22.3,0.0,3.9
6037212610,California,Los Angeles,3871,1850,2021,24.5,10.2,4.5,0.0,59.3,0.0,1834,31261.0,3666.0,25028.0,3502.0,24.1,36.5,31.0,25.3,33.4,2.9,7.4,52.7,15.2,25.7,0.9,1.0,4.4,28.2,2174,78.7,5.1,15.4,0.9,8.8
6037212620,California,Los Angeles,4609,2223,2386,47.8,3.3,3.6,0.0,44.4,0.2,1616,34536.0,2835.0,16636.0,2082.0,28.4,57.1,19.4,33.9,21.6,10.1,14.9,56.3,11.2,20.7,5.0,3.7,3.1,32.1,2582,78.8,9.7,11.1,0.4,10.1
6037212701,California,Los Angeles,2496,1128,1368,34.0,11.3,3.0,0.0,49.9,0.0,1443,46154.0,8547.0,21886.0,3012.0,16.1,20.4,34.5,21.6,27.7,5.1,11.2,76.2,5.8,8.2,0.7,3.0,6.1,32.1,1225,84.2,3.2,12.2,0.3,9.3
6037212702,California,Los Angeles,3756,1734,2022,8.5,21.6,4.7,0.0,60.4,0.0,2662,68894.0,12922.0,43490.0,8622.0,9.4,17.2,56.7,13.5,28.0,1.5,0.3,72.5,9.5,3.5,1.8,1.4,11.2,26.6,2071,75.3,9.1,15.6,0.0,10.0
6037212800,California,Los Angeles,4103,1748,2355,50.5,15.7,13.8,0.6,15.7,0.0,2361,49063.0,6251.0,26835.0,4861.0,23.9,35.5,31.3,27.5,23.8,8.5,8.9,72.1,6.8,12.9,3.4,0.4,4.5,33.1,2052,76.1,9.2,14.7,0.0,7.9
6037212900,California,Los Angeles,4906,2418,2488,64.2,5.3,10.7,0.5,18.0,0.0,2074,34408.0,9140.0,18064.0,4411.0,28.2,38.8,17.9,37.9,27.3,7.0,10.0,55.9,5.3,32.4,0.8,2.1,3.4,34.8,2412,76.1,6.3,17.6,0.0,8.3
6037213100,California,Los Angeles,2902,1424,1478,36.6,8.8,7.5,0.2,46.5,0.0,1348,41625.0,8378.0,25372.0,6373.0,25.7,45.7,32.1,24.0,22.1,5.4,16.3,55.3,6.6,25.5,1.8,7.5,3.4,32.3,1419,81.9,5.9,12.2,0.0,9.7
6037213201,California,Los Angeles,4554,2194,2360,50.5,2.9,1.6,0.0,41.9,2.2,1686,30463.0,5872.0,12344.0,1288.0,27.5,43.2,18.5,32.8,25.4,8.8,14.5,53.1,9.8,27.2,6.6,0.9,2.3,30.2,1985,74.0,7.6,17.6,0.9,14.0
6037213202,California,Los Angeles,3987,1991,1996,62.6,2.4,2.4,0.0,31.3,0.0,1492,32143.0,4621.0,13564.0,1785.0,33.3,44.0,16.9,30.7,16.3,16.9,19.2,51.5,12.3,23.9,5.3,2.7,4.3,31.7,1928,70.3,6.6,23.1,0.0,12.6
6037213310,California,Los Angeles,3827,1985,1842,78.9,0.5,0.7,0.0,19.4,0.0,1357,36528.0,5902.0,14889.0,1994.0,24.0,47.7,13.5,37.6,16.9,15.5,16.5,55.8,7.4,28.7,3.6,2.1,2.5,37.5,1906,66.8,4.9,27.8,0.5,9.2
6037213320,California,Los Angeles,2151,1034,1117,57.8,3.3,5.5,0.0,32.8,0.6,965,23064.0,3409.0,14851.0,1769.0,23.3,21.3,15.5,37.3,21.9,4.4,21.0,64.2,4.5,22.1,3.0,1.3,4.9,31.7,961,72.7,5.3,22.0,0.0,14.3
6037213401,California,Los Angeles,5616,2950,2666,78.9,0.9,1.7,0.0,17.7,0.0,1534,32134.0,1974.0,12353.0,1004.0,19.1,28.7,9.1,32.4,21.6,16.9,20.1,38.2,16.3,39.7,3.9,0.8,1.0,36.6,3086,80.4,5.3,13.9,0.4,13.6
6037213402,California,Los Angeles,4558,2405,2153,73.1,2.7,3.2,0.0,20.3,0.0,1906,34643.0,5344.0,13606.0,1198.0,31.6,50.8,17.7,33.3,18.0,13.5,17.5,48.8,9.6,29.7,6.4,1.3,4.3,33.3,2350,69.9,4.9,25.2,0.0,16.0
6037214000,California,Los Angeles,3853,1877,1976,3.3,88.3,0.4,0.0,4.8,0.6,2388,79968.0,14905.0,50315.0,11154.0,5.3,3.3,77.5,3.5,16.8,0.5,1.6,67.2,6.6,0.1,7.5,5.9,12.9,24.0,1589,82.5,5.7,11.8,0.0,7.3
6037214100,California,Los Angeles,4257,2027,2230,6.3,86.7,1.0,0.0,4.4,0.0,3061,103523.0,21433.0,61045.0,8501.0,7.1,1.9,63.2,6.7,22.3,2.5,5.2,73.7,3.3,0.0,0.5,3.5,19.1,24.2,2193,73.7,1.1,24.8,0.4,5.2
6037214400,California,Los Angeles,3028,1501,1527,13.3,73.9,1.7,0.3,4.3,0.0,2469,67207.0,6359.0,46168.0,5341.0,15.0,13.8,71.3,6.9,17.3,2.2,2.3,69.2,3.1,2.3,1.9,7.9,15.7,28.8,2139,81.8,8.5,9.7,0.0,9.9
6037214501,California,Los Angeles,2947,1480,1467,3.3,60.3,4.8,1.0,22.0,0.0,1888,79234.0,14868.0,58806.0,9549.0,12.3,10.8,65.5,11.1,22.4,1.0,0.0,65.6,8.8,2.6,4.2,3.0,15.9,23.1,1765,70.9,9.7,18.6,0.8,5.5
6037214502,California,Los Angeles,4958,2321,2637,13.1,55.7,2.5,0.0,26.2,0.0,3341,62768.0,16370.0,45869.0,8009.0,26.2,4.7,73.8,7.0,18.1,0.0,1.1,69.9,3.8,3.7,1.1,7.8,13.6,24.3,2849,85.2,5.8,8.6,0.5,6.8
6037214503,California,Los Angeles,3339,1614,1725,4.7,47.2,3.0,0.4,40.5,0.0,1923,70257.0,8474.0,46684.0,6510.0,9.6,5.2,63.5,8.8,21.9,2.2,3.7,72.8,5.8,2.1,5.8,3.0,10.5,26.5,1883,76.1,8.0,15.9,0.0,5.9
6037214600,California,Los Angeles,2767,1298,1469,10.5,73.8,1.6,0.1,10.5,0.3,2079,84792.0,12462.0,65150.0,11467.0,8.8,5.7,57.0,6.9,30.2,2.2,3.7,74.5,4.9,2.1,2.5,2.7,13.4,26.8,1762,81.4,7.4,11.2,0.0,4.6
