id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
6021729,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90057,213,164736,0,34.0627628,-118.2811045,31102,22779,25831,1260.66562609083
60217299,6,California,CA,Alameda,Redondo Beach,Alameda city,Track,Track,90278,310,1170569,998254,33.8460185,-118.39712,95326,93272,68603,687.927446399306
60217309,6,California,CA,Alameda,Redondo Beach,Alameda city,Track,Track,90278,310,736075,945715,33.8222769,-118.3903264,100217,80845,70298,315.946701133465
60217319,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90504,310,504044,0,33.8758584,-118.3390069,73962,56894,50994,395.820366749301
60217329,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90504,310,852348,0,33.8697405,-118.3325911,86511,81448,58330,93.5606182719796
60217339,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90504,310,1872026,0,33.8661962,-118.3493205,62252,61029,54817,327.679901110457
60217349,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90503,310,1332936,0,33.8530265,-118.3702822,114126,300000,62960,71.4621797973638
60217359,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90503,310,2006328,0,33.8317827,-118.3529869,107565,93515,72383,128.460025183006
60217369,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90501,310,3545230,0,33.8382367,-118.3181299,76906,70683,45341,377.005550423628
60217379,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90501,310,1416729,1784,33.8123572,-118.3130811,105079,300000,66744,97.3618944940015
60217389,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90505,310,1745701,0,33.8209956,-118.367527,125786,300000,66719,127.122942723776
6021739,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90015,213,306315,0,34.05073,-118.2683015,38931,23146,38362,1360.26423751215
60217399,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90505,310,2394703,0,33.8068026,-118.3712105,162540,300000,44333,38.1602091451658
60217409,6,California,CA,Alameda,Torrance,Alameda city,Track,Track,90505,310,1829524,1183,33.7959818,-118.3446895,77189,72618,57161,232.156432942645
60217419,6,California,CA,Alameda,Lomita,Alameda city,Track,Track,90717,310,1493424,0,33.7964591,-118.3227742,62426,45755,52458,298.088064819196
60217429,6,California,CA,Alameda,Palos Verdes Estates,Alameda city,Track,Track,90274,310,4736537,593829,33.8001638,-118.3869835,150223,157006,81326,58.4922847176677
60217439,6,California,CA,Alameda,Rancho Palos Verdes,Alameda city,Track,Track,90275,310,1499320,0,33.7671014,-118.3748916,122003,105522,80507,414.435866169449
60217449,6,California,CA,Alameda,Rancho Palos Verdes,Alameda city,Track,Track,90275,310,3565039,1123792,33.7558674,-118.4075895,106022,91217,81498,436.506485062574
60217459,6,California,CA,Alameda,Rancho Palos Verdes,Alameda city,Track,Track,90275,310,6694551,94144,33.7535998,-118.3284429,162857,202358,92382,104.325360642387
60217469,6,California,CA,Alameda,West Hollywood,Alameda city,Track,Track,90046,323,490971,0,34.0892775,-118.3538978,40509,19139,46481,739.687897975778
60217479,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90048,323,1315939,0,34.0812987,-118.3811478,78427,62610,66805,492.267822623122
60217489,6,California,CA,Alameda,Beverly Hills,Alameda city,Track,Track,90210,310,5679680,5889,34.0892642,-118.4021007,167779,208338,93754,100.256885109794
6021749,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90005,424,567077,0,34.0652365,-118.2877775,48557,39701,36586,1795.47789006429
60217499,6,California,CA,Alameda,Beverly Hills,Alameda city,Track,Track,90211,310,685910,0,34.0684231,-118.3820778,91484,71280,72989,212.850875677628
60217509,6,California,CA,Alameda,Beverly Hills,Alameda city,Track,Track,90212,310,954427,0,34.0620828,-118.3944002,96430,89224,68380,390.494819220763
60217519,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90403,310,1941997,0,34.0412036,-118.4943488,157088,156861,84443,87.75912312672
60217529,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90403,310,829446,244198,34.0190747,-118.503319,143409,300000,87294,103.123687113621
60217539,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90403,310,1229472,3025,34.0389491,-118.4799628,134800,300000,78845,48.8285622181786
60217549,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90403,310,606991,0,34.0227687,-118.4840964,73501,55855,64082,246.785667355711
60217559,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90405,310,1248774,0,34.0188907,-118.4789709,70151,46977,59443,287.924492952953
60217569,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90405,310,931232,203768,34.0009853,-118.4807228,107038,300000,78019,145.058956959337
60217579,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90405,310,1204124,0,34.0133521,-118.4729854,119227,97567,77598,141.586740115938
60217589,6,California,CA,Alameda,Santa Monica,Alameda city,Track,Track,90405,310,2600727,0,34.0183095,-118.4559502,101605,75609,83073,435.247676579944
6021759,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90010,213,651518,0,34.0653405,-118.3184531,96811,300000,80050,567.17660816466
60217599,6,California,CA,Alameda,Culver City,Alameda city,Track,Track,90230,310,1333944,9889,34.0146198,-118.3963576,146052,300000,80203,42.4962758811679
60217609,6,California,CA,Alameda,Culver City,Alameda city,Track,Track,90230,310,1339404,11605,34.0058662,-118.400984,126258,125711,78057,126.925281338665
60217619,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90066,310,847106,224,33.9954427,-118.4325909,74270,58236,58916,194.990544284936
60217629,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90056,323,3249764,0,33.9874965,-118.3729565,142979,150239,83019,148.983908601154
60217639,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90056,323,2106455,0,33.9985885,-118.3401633,131864,300000,62264,112.187679460766
60217649,6,California,CA,Alameda,Calabasas,Alameda city,Track,Track,91302,818,27382093,2732,34.1150626,-118.685427,151185,300000,80376,73.1612651735396
60217659,6,California,CA,Alameda,Westlake Village,Alameda city,Track,Track,91361,818,2020592,289880,34.1448378,-118.8170419,110295,97315,84170,315.044068962756
60217669,6,California,CA,Alameda,Agoura,Alameda city,Track,Track,91301,818,22557151,21764,34.1211089,-118.7391728,140704,300000,58244,78.6240441157871
60217679,6,California,CA,Alameda,Agoura Hills,Alameda city,Track,Track,91301,818,4805375,572,34.1606269,-118.7730237,182475,300000,67315,60.625260726132
60217689,6,California,CA,Alameda,Topanga,Alameda city,Track,Track,90290,310,26486782,2849765,34.0516505,-118.6049503,136693,300000,73979,149.053131236041
6021769,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90005,213,138654,0,34.0635726,-118.2984976,31499,23776,28323,1041.73855470647
60217699,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93535,661,235291631,131773,34.7083865,-117.956249,53182,38578,53018,242.949615974714
60217709,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93535,661,1308089,0,34.6823359,-118.0991395,46767,42035,34593,472.934247615324
60217719,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93535,661,1742997,0,34.7004762,-118.1244376,57031,39285,52987,513.434074859739
60217729,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93534,661,2093985,0,34.6819687,-118.14081,65709,56932,51199,261.816185541434
60217739,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93534,661,2638795,4409,34.7113059,-118.1556624,32939,36838,22702,611.479058416134
60217749,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93534,661,1795825,0,34.69644,-118.1419762,24383,15692,23421,1064.4288050722
60217759,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93536,661,2682476,0,34.6966423,-118.1748108,68162,57343,43746,131.024912377219
60217769,6,California,CA,Alameda,Lancaster,Alameda city,Track,Track,93534,661,2669163,2720,34.6708476,-118.1722433,68751,53179,60108,338.843827704398
60217779,6,California,CA,Alameda,Downey,Alameda city,Track,Track,90242,661,588526916,7880531,34.7464478,-118.5708081,60789,50695,47401,273.383572837654
60217789,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93551,661,14561199,4465,34.615092,-118.1350954,76484,62035,54730,446.012431542864
6021779,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90006,213,79596,0,34.05607,-118.3053637,45561,34118,46432,754.072377775492
60217799,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93551,661,3305728,0,34.5966435,-118.155582,69024,51705,50741,611.514560861731
60217809,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93550,661,1144854,0,34.5834907,-118.1256195,45383,35898,37879,330.953957942326
60217819,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93550,661,1589440,0,34.5690669,-118.1046034,40766,29897,30989,244.358377738548
60217829,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93550,661,2630522,0,34.565463,-118.0850295,58383,52276,46637,219.016959756634
60217839,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93550,661,6663467,55480,34.5504277,-118.1036897,55418,46756,41584,783.931197324742
60217849,6,California,CA,Alameda,Palmdale,Alameda city,Track,Track,93550,661,1986482,985,34.5546511,-118.0700947,47848,38750,38304,375.649698707297
60217859,6,California,CA,Alameda,Canyon Country,Alameda city,Track,Track,91351,661,10767876,587,34.4620693,-118.395844,88448,300000,44857,193.384653208844
60217869,6,California,CA,Alameda,Agua Dulce,Alameda city,Track,Track,91390,661,163273448,12209,34.5455872,-118.4200954,91975,58769,86857,42.862799046923
60217879,6,California,CA,Alameda,Saugus,Alameda city,Track,Track,91350,661,2068708,8391,34.4474408,-118.5295759,84492,300000,48574,305.253303868131
60217889,6,California,CA,Alameda,Canyon Country,Alameda city,Track,Track,91351,661,2702337,0,34.4394521,-118.4870567,112663,109241,64128,651.310449695384
6021789,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90006,323,337924,0,34.0490294,-118.3045035,38677,31881,31803,1042.76908976826
60217899,6,California,CA,Alameda,Downey,Alameda city,Track,Track,90242,661,12332460,0,34.4591589,-118.4642617,144360,300000,64211,197.912862139842
602179,6,California,CA,Alameda,Castro Valley,Alameda city,Track,Track,94546,510,1322635,0,37.7060949,-122.0822257,110268,300000,62532,454.668103473992
60217909,6,California,CA,Alameda,Canyon Country,Alameda city,Track,Track,91351,661,1222296,0,34.4215429,-118.4758577,65773,46604,43011,141.795413811816
60217919,6,California,CA,Alameda,Canyon Country,Alameda city,Track,Track,91387,661,1809186,0,34.4180484,-118.4333787,79203,73376,46596,380.772291374934
60217929,6,California,CA,Alameda,Saugus,Alameda city,Track,Track,91350,661,1869926,0,34.4533926,-118.5168986,132840,139164,59363,74.9247470453196
60217939,6,California,CA,Alameda,Valencia,Alameda city,Track,Track,91355,661,1183975,0,34.4524038,-118.5384531,110430,100166,62717,171.718082390817
60217949,6,California,CA,Alameda,Castaic,Alameda city,Track,Track,91384,661,2965817,0,34.459244,-118.622565,111806,112094,50768,145.250826305838
60217959,6,California,CA,Alameda,Newhall,Alameda city,Track,Track,91321,661,2924279,0,34.3715616,-118.5513235,120161,300000,65393,84.260381082439
60217969,6,California,CA,Alameda,Valencia,Alameda city,Track,Track,91355,661,2196950,0,34.4105552,-118.5503607,90530,300000,64028,293.588416812886
60217979,6,California,CA,Alameda,Newhall,Alameda city,Track,Track,91321,661,4266567,4637,34.3831792,-118.5139996,74588,300000,48818,201.925132658103
60217989,6,California,CA,Alameda,Newhall,Alameda city,Track,Track,91321,661,1648101,0,34.3736616,-118.5128742,58806,44484,48949,359.022733965329
6021799,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90036,323,232313,0,34.0668419,-118.3541156,92813,70811,71293,704.419247431944
